itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,city_type_city,city_type_suburb,city_type_rural,income_under_50k,income_50_100k,income_over_100k,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind,party_id_leaners_dem
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,14%,14%,12%,16%,13%,11%,11%,11%,14%,16%,15%,15%,12%,11%,11%,19%,13%,13%,18%,9%,15%,11%,10%,12%,11%,39%,12%,8%,14%,11%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","If Donald Trump is found guilty in the federal trial related to attempts to overturn the 2020 election, should he be sentenced to prison or should he not be sentenced to prison?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","If Donald Trump is found guilty in the federal trial related to attempts to overturn the 2020 election, should he be sentenced to prison or should he not be sentenced to prison?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","If Donald Trump is found guilty in the federal trial related to attempts to overturn the 2020 election, should he be sentenced to prison or should he not be sentenced to prison?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump should be sentenced to prison,50%,47%,53%,59%,53%,43%,51%,45%,72%,54%,55%,59%,45%,56%,38%,68%,58%,60%,55%,37%,48%,52%,55%,81%,20%,44%,79%,18%,57%,81%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Donald Trump should NOT be sentenced to prison,40%,43%,38%,32%,38%,48%,39%,46%,16%,38%,41%,29%,47%,32%,55%,22%,34%,32%,33%,53%,47%,39%,37%,9%,72%,25%,12%,75%,33%,11%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,11%,10%,9%,9%,9%,9%,9%,9%,12%,8%,4%,12%,9%,12%,8%,10%,8%,8%,12%,10%,5%,9%,8%,9%,8%,32%,10%,7%,10%,8%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the federal trial against Donald Trump related to attempts to overturn the 2020 election, do you think it is likely or unlikely that he will be convicted at the end of the trial? FOLLOW UP: Is that very or somewhat?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the federal trial against Donald Trump related to attempts to overturn the 2020 election, do you think it is likely or unlikely that he will be convicted at the end of the trial? FOLLOW UP: Is that very or somewhat?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Thinking about the federal trial against Donald Trump related to attempts to overturn the 2020 election, do you think it is likely or unlikely that he will be convicted at the end of the trial? FOLLOW UP: Is that very or somewhat?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,13%,14%,13%,6%,8%,15%,21%,13%,13%,14%,17%,15%,12%,16%,11%,14%,15%,14%,15%,10%,13%,11%,16%,20%,8%,6%,21%,10%,11%,19%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,22%,23%,20%,31%,23%,21%,18%,22%,23%,21%,23%,26%,19%,27%,19%,25%,21%,24%,24%,16%,18%,26%,23%,26%,18%,18%,25%,17%,27%,27%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat unlikely,28%,25%,32%,37%,32%,27%,23%,30%,28%,23%,20%,30%,28%,31%,30%,27%,23%,28%,28%,29%,27%,33%,28%,26%,31%,26%,22%,29%,32%,26%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very unlikely,25%,28%,23%,18%,29%,27%,23%,25%,25%,29%,20%,20%,28%,18%,30%,25%,26%,24%,19%,32%,32%,19%,24%,19%,33%,15%,23%,32%,21%,22%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,12%,10%,12%,8%,8%,11%,15%,9%,11%,13%,20%,9%,12%,8%,10%,10%,15%,10%,13%,13%,9%,11%,9%,9%,11%,35%,8%,12%,9%,7%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Likely,35%,37%,33%,36%,31%,35%,39%,36%,36%,35%,40%,41%,32%,43%,31%,38%,35%,39%,40%,26%,32%,37%,39%,46%,26%,24%,47%,27%,38%,46%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",NET Unlikely,53%,53%,55%,55%,61%,53%,45%,55%,53%,52%,40%,50%,56%,49%,60%,51%,50%,52%,47%,61%,60%,52%,52%,45%,63%,41%,46%,61%,54%,47%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",(If Republican primary voter)  Which statement comes closer to your view on what should happen if  Donald Trump wins the most votes in the Republican primary and is then convicted of a crime?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",(If Republican primary voter)  Which statement comes closer to your view on what should happen if  Donald Trump wins the most votes in the Republican primary and is then convicted of a crime?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,City Type,City Type,City Type,Income,Income,Income,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID,Party ID + Leaners
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",(If Republican primary voter)  Which statement comes closer to your view on what should happen if  Donald Trump wins the most votes in the Republican primary and is then convicted of a crime?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural,Under $50k,$50-100k,Over $100k,Biden,Trump,Oth.,Dem.,Rep.,Ind.,Dem.
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Donald Trump should NOT be the Republican nominee if he is convicted of a crime, even if he has won the most votes in the primary.",32%,30%,34%,38%,41%,27%,30%,32%,49%,24%,26%,46%,25%,51%,22%,23%,32%,42%,37%,26%,22%,31%,41%,81%,24%,82%,62%,28%,41%,74%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?","Donald Trump should be the Republican nominee if he has won the most votes in the primary, even if he is convicted of a crime.",62%,63%,60%,58%,56%,67%,63%,62%,44%,68%,61%,45%,70%,40%,73%,77%,56%,52%,55%,68%,70%,63%,53%,10%,70%,6%,38%,66%,51%,26%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don’t know/Refused,7%,7%,6%,4%,4%,6%,7%,6%,7%,9%,13%,9%,6%,9%,4%,0%,12%,5%,8%,6%,8%,6%,6%,9%,6%,12%,0%,6%,8%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,380,203,175,56,88,135,88,307,13,37,16,163,213,141,165,18,47,64,122,194,88,84,178,40,319,21,9,262,92,21
