itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements.","Next, regardless of who you support for president, tell me whether you strongly agree, somewhat agree, somewhat disagree or strongly disagree with each of the following statements."
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden is just too old to be an effective president.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden is just too old to be an effective president.,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden is just too old to be an effective president.,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly agree,48%,52%,43%,52%,46%,52%,42%,50%,35%,53%,39%,41%,52%,43%,54%,37%,47%,45%,45%,51%,48%,42%,45%,55%,24%,70%,55%,25%,71%,51%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat agree,21%,21%,22%,35%,25%,17%,14%,20%,24%,23%,33%,26%,19%,24%,18%,32%,24%,20%,25%,19%,22%,24%,21%,19%,31%,13%,13%,30%,12%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disagree,14%,12%,17%,10%,15%,16%,17%,15%,18%,5%,16%,17%,13%,17%,14%,16%,10%,16%,19%,12%,13%,13%,16%,13%,22%,9%,4%,21%,10%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disagree,13%,12%,15%,4%,10%,12%,25%,12%,22%,13%,11%,15%,12%,15%,10%,15%,16%,14%,9%,13%,16%,19%,14%,8%,21%,5%,13%,23%,6%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,3%,3%,3%,<.5%,4%,3%,2%,3%,0%,5%,1%,1%,4%,1%,4%,0%,3%,5%,3%,4%,1%,2%,3%,4%,2%,3%,15%,<1%,<1%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Agree,69%,73%,65%,86%,71%,69%,56%,70%,60%,77%,72%,66%,71%,66%,72%,69%,70%,65%,70%,71%,70%,66%,67%,74%,55%,83%,68%,55%,83%,69%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disagree,28%,24%,32%,13%,25%,28%,42%,27%,40%,18%,27%,33%,25%,32%,24%,31%,26%,30%,27%,25%,29%,32%,30%,21%,43%,14%,17%,44%,16%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump is just too old to be an effective president.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump is just too old to be an effective president.,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump is just too old to be an effective president.,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly agree,21%,17%,24%,27%,19%,19%,24%,18%,35%,26%,26%,21%,21%,21%,17%,22%,32%,19%,22%,19%,26%,26%,22%,16%,35%,5%,32%,35%,9%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat agree,20%,20%,19%,37%,19%,17%,12%,18%,17%,27%,32%,24%,17%,23%,16%,30%,21%,20%,22%,18%,20%,21%,19%,19%,26%,13%,22%,22%,12%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disagree,24%,22%,27%,18%,29%,27%,23%,28%,15%,15%,15%,27%,23%,29%,28%,20%,13%,27%,26%,22%,25%,23%,24%,26%,21%,29%,16%,22%,32%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disagree,32%,38%,26%,19%,31%,34%,38%,33%,30%,27%,27%,27%,35%,26%,37%,26%,31%,30%,28%,39%,27%,29%,30%,36%,15%,50%,26%,19%,47%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,3%,3%,3%,0%,2%,3%,3%,2%,3%,5%,0%,2%,3%,2%,3%,2%,3%,4%,2%,3%,2%,1%,4%,2%,4%,2%,4%,3%,0%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Agree,41%,37%,44%,64%,38%,36%,36%,37%,52%,53%,57%,45%,38%,44%,33%,52%,53%,39%,44%,37%,45%,47%,41%,35%,61%,19%,54%,57%,21%,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disagree,56%,60%,54%,36%,60%,61%,60%,61%,45%,43%,43%,53%,59%,55%,65%,46%,44%,57%,54%,61%,52%,51%,55%,62%,36%,79%,42%,40%,79%,55%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Do you think Joe Biden has the personality and temperament to be an effective president?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Do you think Joe Biden has the personality and temperament to be an effective president?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Do you think Joe Biden has the personality and temperament to be an effective president?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Yes,45%,40%,49%,36%,48%,46%,49%,38%,78%,50%,50%,56%,38%,55%,29%,57%,58%,33%,52%,43%,52%,55%,50%,32%,84%,9%,14%,85%,11%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No,54%,58%,50%,63%,50%,54%,51%,60%,22%,50%,50%,43%,61%,44%,69%,43%,42%,67%,46%,55%,47%,44%,49%,67%,15%,90%,81%,14%,89%,56%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,1%,2%,<1%,1%,1%,0%,0%,1%,0%,0%,0%,1%,1%,1%,1%,0%,0%,0%,2%,2%,<1%,1%,1%,<1%,1%,<.5%,5%,<1%,<1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,45%,54%,14%,24%,31%,26%,67%,9%,12%,8%,35%,64%,24%,43%,9%,19%,22%,21%,35%,22%,23%,41%,36%,47%,44%,9%,31%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump has the personality and temperament to be an effective president?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump has the personality and temperament to be an effective president?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump has the personality and temperament to be an effective president?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Yes,41%,52%,31%,38%,40%,41%,43%,45%,26%,40%,22%,30%,48%,31%,53%,24%,35%,41%,34%,48%,38%,35%,36%,52%,4%,80%,29%,9%,76%,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No,57%,45%,68%,59%,59%,57%,57%,54%,74%,55%,74%,68%,50%,68%,46%,73%,62%,57%,65%,51%,59%,63%,62%,46%,95%,18%,65%,89%,22%,59%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,2%,3%,<1%,3%,<1%,2%,0%,1%,0%,5%,4%,1%,2%,1%,<1%,2%,3%,2%,<1%,2%,3%,2%,2%,2%,1%,2%,6%,2%,2%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,16%,23%,31%,25%,65%,11%,12%,8%,37%,61%,25%,40%,11%,19%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,32%,26%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","If Donald Trump is elected president in November, what best describes your feelings about what he will do in office?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","If Donald Trump is elected president in November, what best describes your feelings about what he will do in office?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
