itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,11%,24%,35%,26%,71%,10%,9%,7%,36%,63%,26%,45%,9%,16%,22%,19%,37%,22%,21%,40%,39%,41%,53%,6%,30%,35%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The stock market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The stock market,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The stock market,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,13%,18%,9%,7%,8%,18%,11%,16%,2%,11%,0%,21%,8%,25%,10%,10%,2%,19%,11%,8%,17%,14%,15%,11%,21%,7%,6%,21%,7%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,25%,30%,21%,12%,17%,27%,35%,25%,30%,13%,38%,30%,22%,31%,22%,31%,24%,23%,27%,21%,29%,24%,28%,22%,34%,17%,28%,31%,19%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,34%,28%,38%,53%,39%,33%,24%,32%,49%,35%,30%,30%,35%,29%,34%,34%,40%,21%,47%,41%,22%,33%,36%,31%,25%,40%,35%,26%,37%,37%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,19%,16%,22%,24%,16%,19%,17%,17%,18%,35%,19%,13%,23%,9%,22%,20%,27%,19%,8%,19%,29%,14%,17%,25%,12%,26%,7%,12%,27%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,10%,9%,11%,3%,20%,3%,12%,10%,1%,7%,12%,6%,12%,6%,12%,5%,7%,17%,7%,11%,3%,15%,5%,12%,8%,9%,25%,10%,11%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,38%,47%,30%,20%,26%,45%,47%,41%,32%,24%,38%,51%,30%,56%,32%,41%,26%,42%,38%,29%,46%,38%,42%,32%,56%,24%,34%,52%,26%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,53%,44%,60%,77%,55%,51%,41%,49%,67%,70%,50%,43%,58%,38%,56%,54%,67%,41%,55%,60%,51%,47%,53%,56%,36%,67%,41%,38%,63%,54%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,407,206,194,58,110,139,83,270,45,49,32,177,227,126,143,47,78,90,83,149,85,99,164,144,158,215,34,120,122,136
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,11%,24%,35%,26%,71%,10%,9%,7%,36%,63%,26%,45%,9%,16%,22%,19%,37%,22%,21%,40%,39%,41%,53%,6%,30%,35%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Prices for food and consumer goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Prices for food and consumer goods,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Prices for food and consumer goods,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,<.5%,<1%,0%,<.5%,0%,<1%,0%,<.5%,0%,<.5%,0%,<1%,0%,1%,0%,<.5%,0%,0%,<.5%,1%,0%,<.5%,<1%,0%,<1%,<.5%,0%,1%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,12%,18%,7%,6%,5%,7%,26%,12%,9%,7%,24%,11%,13%,10%,14%,10%,12%,15%,8%,11%,14%,12%,17%,6%,22%,<1%,13%,13%,8%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,24%,26%,23%,23%,36%,21%,20%,25%,26%,17%,40%,32%,18%,35%,18%,29%,20%,18%,28%,22%,29%,24%,27%,22%,38%,11%,16%,39%,14%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,63%,56%,70%,71%,58%,71%,54%,62%,65%,76%,37%,56%,69%,53%,69%,61%,69%,67%,63%,65%,57%,63%,56%,72%,39%,88%,70%,46%,78%,62%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,<.5%,<.5%,0%,<1%,<.5%,0%,<.5%,0%,<.5%,0%,<.5%,<.5%,<1%,0%,0%,<.5%,<1%,0%,<.5%,0%,0%,<.5%,<1%,<.5%,<.5%,<.5%,0%,<1%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,12%,18%,7%,6%,5%,8%,26%,12%,9%,7%,24%,12%,13%,11%,14%,10%,12%,15%,8%,12%,14%,12%,18%,6%,22%,<1%,13%,15%,8%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,87%,82%,93%,94%,94%,92%,74%,87%,91%,93%,76%,88%,87%,89%,86%,90%,88%,84%,92%,88%,86%,88%,82%,94%,77%,99%,87%,85%,92%,84%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,416,211,202,71,97,143,84,263,47,72,27,214,202,135,128,74,72,84,94,137,101,90,186,140,191,186,39,126,111,141
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,14%,20%,32%,30%,67%,10%,15%,6%,44%,56%,29%,38%,15%,17%,21%,21%,32%,26%,18%,46%,36%,48%,42%,10%,32%,28%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The housing market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The housing market,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The housing market,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,2%,<.5%,3%,<.5%,2%,1%,4%,2%,0%,3%,0%,2%,2%,2%,2%,4%,0%,<1%,<.5%,2%,5%,2%,1%,3%,4%,<1%,0%,5%,<1%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,15%,22%,9%,7%,12%,13%,22%,16%,15%,11%,20%,15%,15%,17%,14%,11%,16%,12%,18%,15%,15%,16%,20%,8%,27%,4%,4%,22%,8%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,26%,22%,30%,32%,24%,27%,24%,26%,28%,24%,39%,28%,25%,28%,24%,30%,27%,24%,28%,28%,24%,18%,32%,23%,30%,24%,20%,29%,19%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,51%,48%,54%,61%,58%,57%,35%,49%,57%,59%,41%,51%,51%,48%,49%,53%,57%,53%,51%,46%,56%,63%,42%,56%,35%,68%,55%,42%,66%,49%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,6%,8%,3%,0%,4%,<1%,15%,8%,0%,2%,0%,4%,7%,5%,10%,3%,0%,10%,3%,9%,0%,1%,5%,9%,5%,4%,21%,3%,6%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,17%,22%,12%,7%,14%,15%,26%,18%,15%,14%,20%,17%,17%,19%,17%,14%,16%,13%,18%,17%,20%,18%,21%,12%,30%,5%,4%,26%,9%,17%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,77%,70%,85%,93%,82%,84%,58%,74%,85%,83%,80%,79%,76%,76%,73%,83%,84%,77%,79%,74%,80%,81%,74%,80%,65%,91%,76%,71%,85%,78%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,416,211,202,71,97,143,84,263,47,72,27,214,202,135,128,74,72,84,94,137,101,90,186,140,191,186,39,126,111,141
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,14%,20%,32%,30%,67%,10%,15%,6%,44%,56%,29%,38%,15%,17%,21%,21%,32%,26%,18%,46%,36%,48%,42%,10%,32%,28%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Gas prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Gas prices,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Gas prices,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,3%,5%,1%,0%,6%,1%,4%,4%,2%,0%,1%,5%,2%,5%,3%,4%,0%,7%,2%,<1%,3%,4%,4%,1%,5%,2%,1%,5%,2%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,15%,13%,17%,4%,15%,19%,14%,15%,18%,11%,26%,24%,11%,24%,11%,27%,13%,16%,18%,13%,17%,21%,14%,14%,32%,4%,6%,32%,2%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,33%,27%,38%,55%,36%,28%,29%,33%,43%,34%,13%,34%,32%,38%,30%,26%,34%,31%,36%,36%,25%,32%,34%,31%,39%,23%,67%,35%,21%,43%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,48%,54%,43%,40%,42%,52%,53%,48%,37%,53%,59%,38%,54%,34%,55%,43%,53%,45%,43%,49%,55%,42%,48%,53%,23%,71%,22%,28%,74%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<1%,<1%,<1%,0%,2%,0%,0%,<1%,0%,1%,0%,0%,1%,0%,1%,0%,<1%,0%,2%,1%,0%,<1%,1%,<1%,<1%,<.5%,2%,<.5%,<1%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,18%,18%,18%,4%,20%,20%,18%,19%,20%,11%,27%,29%,13%,29%,13%,31%,13%,24%,20%,13%,20%,25%,17%,15%,37%,5%,8%,37%,5%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,81%,81%,81%,96%,78%,80%,82%,80%,80%,88%,73%,71%,86%,71%,85%,69%,87%,76%,79%,85%,80%,74%,82%,84%,62%,94%,90%,63%,95%,81%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,407,206,194,58,110,139,83,270,45,49,32,177,227,126,143,47,78,90,83,149,85,99,164,144,158,215,34,120,122,136
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,51%,11%,24%,35%,26%,71%,10%,9%,7%,36%,63%,26%,45%,9%,16%,22%,19%,37%,22%,21%,40%,39%,41%,53%,6%,30%,35%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Wages and incomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Wages and incomes,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Wages and incomes,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,4%,7%,2%,<.5%,0%,4%,9%,5%,3%,4%,4%,4%,5%,4%,5%,4%,4%,5%,2%,5%,5%,2%,5%,4%,6%,<1%,9%,6%,4%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,26%,28%,25%,14%,26%,22%,37%,27%,18%,21%,41%,34%,20%,33%,22%,33%,16%,18%,34%,23%,31%,18%,35%,19%,44%,9%,16%,41%,16%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,32%,28%,35%,37%,29%,39%,22%,36%,33%,21%,18%,27%,36%,33%,38%,17%,31%,40%,26%,33%,28%,31%,30%,34%,31%,34%,23%,34%,34%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,36%,36%,36%,49%,40%,35%,30%,32%,46%,49%,30%,34%,37%,30%,34%,43%,45%,33%,36%,38%,35%,46%,28%,40%,18%,53%,48%,18%,45%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,1%,2%,0%,4%,<1%,1%,1%,0%,4%,7%,2%,2%,<1%,1%,4%,3%,3%,2%,<1%,2%,2%,1%,2%,<.5%,3%,3%,0%,<1%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,31%,35%,27%,15%,26%,26%,47%,31%,21%,26%,45%,38%,25%,37%,27%,36%,20%,24%,36%,28%,35%,20%,40%,24%,50%,10%,26%,47%,21%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,68%,64%,71%,85%,69%,73%,52%,68%,79%,70%,48%,61%,73%,63%,71%,60%,77%,73%,62%,71%,63%,78%,59%,74%,49%,87%,71%,53%,79%,68%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,416,211,202,71,97,143,84,263,47,72,27,214,202,135,128,74,72,84,94,137,101,90,186,140,191,186,39,126,111,141
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,14%,20%,32%,30%,67%,10%,15%,6%,44%,56%,29%,38%,15%,17%,21%,21%,32%,26%,18%,46%,36%,48%,42%,10%,32%,28%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
