itm,v1,registered_voters_registered_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,(If Pennsylvania voter) How confident are you that your community will be relatively safe in the future?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very confident,34%,-,-,-,-,34%,-,38%,30%,34%,38%,32%,32%,36%,19%,41%,34%,42%,29%,44%,31%,33%,23%,19%,39%,35%,43%,25%,34%,45%
How satisfied are you with the way things are going in your life these days?,Somewhat confident,46%,-,-,-,-,46%,-,47%,46%,52%,41%,47%,46%,47%,48%,28%,44%,45%,46%,44%,49%,54%,39%,45%,45%,48%,45%,47%,48%,46%
How satisfied are you with the way things are going in your life these days?,Not too confident,13%,-,-,-,-,13%,-,10%,16%,10%,14%,13%,14%,12%,20%,21%,11%,10%,15%,9%,13%,11%,21%,22%,12%,10%,8%,18%,10%,5%
How satisfied are you with the way things are going in your life these days?,Not at all confident,5%,-,-,-,-,5%,-,4%,6%,3%,4%,7%,6%,4%,11%,0%,11%,3%,7%,3%,5%,3%,13%,13%,3%,5%,3%,7%,7%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,-,-,-,-,2%,-,1%,2%,1%,3%,<.5%,2%,1%,3%,10%,0%,0%,3%,0%,2%,0%,4%,2%,1%,2%,<1%,2%,2%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,,,,,836,,472,349,125,178,275,239,686,77,12,43,437,398,365,321,60,72,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,,,,,100%,,47%,51%,15%,23%,32%,28%,79%,11%,3%,5%,38%,62%,31%,49%,6%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,Who do you think is most responsible for the Supreme Court ending the constitutional right to an abortion: Joe Biden or Donald Trump?,Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,"Joe Biden, a lot of responsibility",8%,7%,7%,8%,10%,7%,5%,8%,8%,6%,8%,7%,9%,7%,9%,9%,9%,4%,10%,3%,9%,4%,11%,7%,7%,9%,4%,12%,3%,4%
How satisfied are you with the way things are going in your life these days?,"Joe Biden, some responsibility",10%,9%,11%,11%,10%,9%,9%,8%,11%,17%,11%,8%,7%,8%,14%,13%,13%,6%,12%,5%,10%,7%,16%,10%,10%,9%,7%,12%,9%,5%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, some responsibility",20%,19%,20%,15%,20%,22%,23%,22%,18%,29%,21%,19%,14%,21%,16%,20%,19%,23%,18%,24%,19%,19%,18%,19%,19%,21%,17%,22%,21%,16%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, a lot of responsibility",36%,37%,30%,37%,31%,44%,37%,33%,38%,26%,30%,37%,45%,37%,41%,30%,28%,45%,31%,43%,33%,49%,28%,39%,38%,31%,63%,15%,20%,68%
How satisfied are you with the way things are going in your life these days?,[VOL] Neither,12%,13%,11%,12%,12%,10%,15%,14%,11%,8%,12%,14%,13%,13%,7%,9%,15%,13%,12%,14%,13%,11%,9%,11%,12%,13%,3%,19%,18%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Both,2%,1%,1%,3%,2%,1%,2%,2%,2%,4%,2%,2%,<.5%,1%,3%,2%,4%,1%,2%,<1%,1%,2%,4%,2%,2%,2%,1%,2%,4%,<.5%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,13%,14%,19%,15%,14%,8%,9%,14%,12%,10%,15%,13%,12%,13%,10%,17%,11%,9%,15%,9%,15%,8%,14%,11%,13%,15%,4%,18%,24%,4%
How satisfied are you with the way things are going in your life these days?,NET Biden,17%,16%,18%,19%,21%,15%,14%,16%,19%,23%,19%,15%,15%,15%,22%,23%,22%,9%,21%,9%,19%,11%,27%,18%,17%,18%,11%,24%,13%,9%
How satisfied are you with the way things are going in your life these days?,NET Trump,56%,56%,50%,52%,51%,65%,59%,55%,56%,55%,51%,56%,59%,58%,56%,50%,47%,67%,50%,68%,52%,68%,46%,59%,57%,52%,80%,37%,41%,84%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,The system does not need changes,2%,4%,1%,2%,2%,2%,4%,3%,2%,<1%,2%,2%,5%,3%,<1%,3%,2%,4%,2%,3%,2%,3%,1%,2%,3%,3%,2%,3%,2%,3%
How satisfied are you with the way things are going in your life these days?,The system needs minor changes,27%,27%,23%,27%,26%,26%,30%,31%,23%,20%,20%,27%,36%,30%,19%,19%,20%,33%,23%,38%,26%,20%,19%,27%,28%,25%,36%,20%,16%,41%
How satisfied are you with the way things are going in your life these days?,The system needs major changes,55%,55%,58%,52%,54%,57%,52%,51%,58%,62%,55%,57%,47%,52%,61%,61%,60%,51%,57%,49%,54%,59%,62%,56%,54%,55%,51%,57%,56%,48%
How satisfied are you with the way things are going in your life these days?,The system needs to be torn down entirely,14%,11%,16%,15%,17%,13%,13%,14%,15%,16%,21%,13%,8%,13%,17%,14%,16%,10%,16%,8%,17%,18%,15%,14%,13%,15%,9%,17%,21%,7%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,3%,2%,4%,<1%,1%,1%,2%,2%,1%,2%,1%,4%,2%,2%,3%,2%,2%,2%,2%,1%,<1%,3%,2%,2%,2%,1%,2%,5%,1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Nothing would change,4%,6%,4%,3%,4%,5%,3%,4%,4%,5%,8%,3%,2%,3%,4%,8%,4%,5%,4%,5%,2%,3%,6%,5%,4%,4%,6%,2%,7%,5%
How satisfied are you with the way things are going in your life these days?,Minor changes to how things work,23%,19%,22%,22%,28%,22%,23%,28%,18%,36%,27%,21%,11%,23%,17%,27%,24%,27%,21%,27%,20%,26%,21%,21%,23%,23%,16%,27%,32%,13%
How satisfied are you with the way things are going in your life these days?,Major changes to how things work,45%,48%,46%,45%,42%,45%,45%,45%,46%,43%,47%,46%,47%,49%,31%,41%,45%,40%,48%,43%,53%,36%,39%,39%,44%,51%,28%,64%,29%,27%
How satisfied are you with the way things are going in your life these days?,He would tear down the system entirely,25%,23%,23%,27%,24%,25%,26%,20%,29%,12%,17%,27%,35%,22%,42%,20%,23%,26%,24%,23%,21%,33%,29%,30%,26%,19%,48%,5%,20%,52%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,4%,4%,3%,3%,3%,2%,3%,4%,3%,2%,3%,5%,3%,6%,4%,4%,2%,3%,2%,3%,3%,5%,4%,3%,3%,2%,2%,12%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If Joe Biden won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If Joe Biden won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"If Joe Biden won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Nothing would change,32%,30%,33%,31%,32%,33%,35%,35%,30%,37%,39%,33%,23%,34%,20%,35%,35%,31%,33%,32%,35%,29%,29%,27%,31%,38%,18%,43%,39%,14%
How satisfied are you with the way things are going in your life these days?,Minor changes to how things work,39%,39%,35%,41%,39%,40%,40%,35%,43%,48%,41%,35%,37%,38%,48%,39%,36%,46%,35%,47%,33%,47%,40%,46%,42%,30%,66%,17%,35%,68%
How satisfied are you with the way things are going in your life these days?,Major changes to how things work,11%,11%,14%,11%,9%,13%,11%,12%,11%,7%,8%,13%,15%,10%,18%,12%,12%,10%,12%,9%,11%,14%,15%,11%,12%,11%,13%,11%,6%,14%
How satisfied are you with the way things are going in your life these days?,He would tear down the system entirely,13%,15%,13%,13%,16%,11%,11%,14%,12%,6%,10%,14%,19%,14%,7%,10%,14%,9%,15%,9%,17%,8%,10%,12%,12%,16%,<1%,25%,8%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,4%,5%,5%,5%,4%,2%,4%,4%,4%,2%,2%,5%,5%,3%,7%,4%,3%,3%,4%,3%,4%,3%,5%,4%,4%,4%,3%,4%,12%,3%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,49%,51%,16%,23%,31%,26%,69%,12%,10%,7%,34%,65%,25%,43%,9%,20%,24%,41%,35%,42%,48%,10%,34%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very good for the country,30%,33%,31%,29%,29%,29%,29%,33%,27%,17%,25%,36%,36%,35%,7%,25%,22%,23%,34%,25%,42%,16%,18%,23%,27%,39%,1%,60%,7%,<1%
How satisfied are you with the way things are going in your life these days?,Somewhat good for the country,13%,12%,14%,13%,15%,14%,13%,16%,11%,18%,15%,14%,8%,13%,14%,15%,16%,13%,14%,14%,12%,10%,17%,12%,13%,14%,4%,22%,10%,3%
How satisfied are you with the way things are going in your life these days?,Somewhat bad for the country,6%,6%,8%,7%,4%,6%,6%,6%,7%,13%,7%,5%,3%,5%,11%,8%,6%,7%,6%,6%,5%,11%,8%,7%,7%,5%,11%,1%,10%,11%
