itm,v1,ohio_likely_electorate_ohio_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_cleveland_area,region_columbus_area,region_industrial_north_east,region_south_east,region_south_west,region_west_central,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,ohio_likely_electorate_1,men_1,women_5,x18_29_0,x30_44_5,x45_64_0,x65_2,white_1,black_1,oth_0,b_a_0,no_b_a_1,white_college_0,white_no_college_1,non_white_college_0,non_white_no_college_1,cleveland_area_0,columbus_area_1,industrial_north_east_1,south_east_3,south_west_0,west_central_0,city_0,suburb_1,rural_small_town_1,harris_1,trump_1,oth_2,dem_0,rep_1
NA,"[VOL] Local broadcast news (includes non-talk, non-public local radio)",6%,7%,6%,2%,4%,9%,7%,7%,9%,5%,4%,8%,4%,8%,6%,8%,7%,7%,9%,2%,6%,5%,7%,7%,6%,5%,7%,10%,6%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] MSNBC,5%,5%,5%,3%,3%,4%,8%,3%,20%,11%,5%,5%,3%,3%,15%,16%,8%,5%,4%,0%,9%,<1%,10%,7%,1%,11%,0%,0%,13%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"[VOL] Aggregation sites (such as Bing, Google, Yahoo News or Apple News)",5%,6%,3%,6%,9%,4%,2%,4%,5%,8%,6%,4%,5%,4%,11%,4%,4%,2%,7%,9%,5%,3%,6%,4%,5%,6%,3%,10%,6%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"[VOL] International news sources (such as the BBC, Al Jazeera and The Guardian)",3%,3%,3%,<1%,3%,6%,<1%,3%,<1%,8%,5%,2%,4%,1%,7%,3%,3%,2%,2%,3%,4%,3%,6%,2%,3%,4%,<1%,14%,4%,<.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Conservative news sites,2%,2%,3%,0%,3%,4%,2%,3%,0%,0%,2%,3%,2%,4%,0%,0%,<.5%,1%,<1%,9%,<1%,7%,0%,2%,4%,0%,5%,0%,0%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Public Radio/NPR/PBS,2%,<1%,4%,4%,4%,2%,<1%,2%,0%,6%,6%,<1%,5%,<1%,7%,<1%,4%,4%,<1%,3%,1%,3%,3%,2%,2%,5%,0%,0%,5%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Newsmax,1%,2%,<1%,0%,0%,2%,1%,1%,0%,0%,<1%,1%,1%,2%,0%,0%,0%,1%,2%,2%,1%,1%,1%,<1%,1%,0%,2%,0%,0%,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Talk radio/conservative personality,<1%,2%,0%,4%,<.5%,<.5%,<1%,<1%,3%,1%,<.5%,1%,<.5%,1%,0%,3%,0%,<1%,<1%,0%,3%,<.5%,<1%,2%,<.5%,0%,2%,0%,0%,<.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Local print or online news organizations,<1%,1%,<.5%,0%,<1%,<1%,<.5%,<1%,0%,0%,1%,<.5%,2%,<.5%,0%,0%,0%,2%,<1%,0%,<1%,0%,0%,1%,<.5%,1%,0%,0%,0%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Friends and family,<1%,<.5%,<1%,2%,1%,0%,0%,<.5%,0%,2%,0%,<1%,0%,<1%,0%,1%,<1%,0%,0%,1%,2%,0%,0%,1%,<.5%,<.5%,<1%,1%,<.5%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Liberal news sites (Such as Mother Jones and Occupy Democrats),<.5%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,<.5%,0%,<1%,0%,0%,0%,0%,0%,<1%,0%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Doesn’t consume news,3%,3%,3%,0%,5%,2%,4%,3%,5%,0%,2%,4%,2%,4%,0%,4%,2%,4%,4%,7%,2%,1%,0%,2%,5%,2%,3%,10%,3%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Other (includes no preference and the internet),7%,10%,4%,7%,6%,9%,7%,6%,15%,8%,7%,8%,7%,6%,7%,14%,7%,6%,13%,5%,5%,5%,11%,9%,3%,7%,6%,18%,8%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,[VOL] Don't know/Refused,6%,7%,6%,6%,5%,5%,7%,6%,7%,8%,4%,8%,4%,7%,6%,9%,4%,6%,10%,5%,6%,8%,3%,5%,9%,3%,10%,0%,2%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Are you, or is any member of your household, a member of a labor union?","Yes, you are a member",8%,10%,7%,6%,11%,9%,6%,7%,9%,7%,7%,9%,6%,9%,10%,7%,10%,5%,13%,9%,8%,2%,9%,10%,6%,8%,8%,6%,8%,6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Are you, or is any member of your household, a member of a labor union?","Yes, another member of your household is a member",8%,5%,11%,10%,11%,6%,9%,9%,11%,7%,9%,8%,9%,8%,9%,9%,5%,8%,5%,7%,18%,6%,5%,9%,9%,7%,9%,8%,10%,8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Are you, or is any member of your household, a member of a labor union?","Yes, you and another member of your household are members",4%,4%,4%,6%,2%,5%,2%,4%,0%,2%,2%,5%,3%,5%,<.5%,1%,3%,4%,4%,0%,<1%,9%,1%,2%,6%,4%,4%,3%,2%,5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Are you, or is any member of your household, a member of a labor union?",No,79%,81%,76%,74%,75%,81%,81%,79%,73%,83%,81%,77%,81%,77%,81%,77%,78%,83%,78%,85%,72%,81%,84%,77%,78%,79%,78%,84%,76%,80%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Are you, or is any member of your household, a member of a labor union?",[VOL] Don’t know/Refused,1%,<1%,2%,4%,<1%,0%,2%,<1%,7%,<.5%,<1%,2%,<1%,<1%,0%,6%,4%,<.5%,0%,0%,1%,1%,<.5%,2%,<1%,2%,<1%,0%,2%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Are you, or is any member of your household, a member of a labor union?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very liberal,13%,8%,17%,19%,24%,7%,9%,12%,15%,17%,16%,11%,16%,10%,18%,15%,13%,20%,10%,12%,13%,10%,25%,14%,6%,27%,1%,6%,33%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat liberal,11%,7%,14%,16%,10%,11%,9%,9%,20%,23%,13%,10%,12%,8%,21%,22%,6%,11%,17%,7%,12%,10%,12%,12%,10%,20%,2%,24%,20%,1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Moderate,32%,34%,30%,36%,32%,33%,29%,31%,31%,37%,39%,28%,40%,26%,34%,33%,37%,36%,29%,29%,37%,21%,30%,35%,29%,40%,24%,36%,35%,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Somewhat conservative,21%,24%,20%,9%,22%,25%,23%,24%,7%,13%,18%,24%,19%,27%,13%,8%,20%,25%,19%,18%,23%,22%,19%,20%,23%,6%,36%,10%,2%,40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Very conservative,20%,24%,16%,15%,10%,21%,28%,20%,27%,10%,12%,25%,11%,25%,13%,22%,22%,7%,17%,31%,14%,32%,10%,17%,26%,5%,34%,8%,7%,40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",[VOL] Don't know/Refused,3%,3%,3%,5%,2%,4%,2%,3%,0%,0%,2%,3%,3%,3%,0%,0%,2%,<1%,8%,3%,<1%,5%,4%,2%,5%,2%,3%,17%,2%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"And just a few more questions for demographic purposes...Do you consider yourself politically liberal, moderate or conservative?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which of the following general income categories is your total household income before taxes?,"Under $25,000",9%,6%,13%,11%,6%,5%,17%,8%,22%,7%,2%,14%,2%,12%,0%,23%,13%,3%,10%,15%,9%,10%,11%,11%,7%,12%,8%,2%,13%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which of the following general income categories is your total household income before taxes?,"At least $25,000 but under $50,000",16%,15%,18%,20%,12%,12%,23%,17%,10%,15%,9%,21%,9%,23%,8%,15%,10%,6%,29%,15%,23%,12%,20%,17%,14%,15%,17%,27%,15%,14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which of the following general income categories is your total household income before taxes?,"At least $50,000 but under $100,000",28%,29%,28%,33%,28%,25%,30%,29%,21%,29%,25%,31%,24%,33%,30%,22%,32%,33%,21%,40%,17%,35%,27%,25%,32%,26%,29%,41%,28%,29%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which of the following general income categories is your total household income before taxes?,"At least $100,000 but under $200,000",30%,33%,28%,28%,39%,34%,22%,30%,31%,34%,39%,25%,40%,24%,37%,30%,23%,36%,26%,23%,40%,31%,27%,32%,30%,33%,30%,10%,28%,33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which of the following general income categories is your total household income before taxes?,"$200,000 or more",10%,14%,7%,4%,12%,16%,5%,10%,5%,13%,20%,4%,19%,4%,22%,2%,13%,17%,8%,1%,9%,7%,11%,10%,10%,9%,11%,4%,8%,11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which of the following general income categories is your total household income before taxes?,[VOL] Refused,6%,3%,7%,5%,3%,8%,3%,4%,11%,2%,5%,5%,5%,4%,3%,9%,9%,6%,6%,7%,3%,5%,4%,5%,7%,4%,6%,15%,6%,4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Which of the following general income categories is your total household income before taxes?,Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Catholic,19%,21%,18%,10%,11%,21%,26%,20%,8%,20%,20%,18%,21%,19%,15%,13%,34%,8%,15%,14%,27%,11%,18%,23%,16%,14%,25%,11%,17%,26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Protestant/Christian,43%,41%,47%,33%,31%,48%,51%,45%,58%,24%,36%,48%,34%,51%,42%,42%,34%,41%,46%,40%,35%,63%,39%,39%,50%,32%,53%,45%,35%,56%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Mormon/Latter-day Saints,<.5%,0%,<1%,0%,0%,<.5%,1%,<1%,0%,0%,0%,<1%,0%,<1%,0%,0%,0%,0%,2%,0%,<.5%,0%,0%,0%,1%,<1%,<.5%,0%,0%,<.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Jewish,3%,3%,2%,2%,1%,3%,3%,3%,0%,0%,6%,<1%,7%,<1%,0%,0%,7%,3%,2%,0%,2%,0%,1%,5%,<.5%,5%,<1%,0%,8%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Muslim,<1%,2%,0%,<.5%,<1%,1%,<1%,<.5%,6%,<1%,<1%,<1%,<1%,0%,<1%,5%,0%,4%,<.5%,0%,0%,0%,2%,<1%,<.5%,1%,<.5%,2%,1%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Greek/Russian Orthodox,<1%,<.5%,1%,<1%,1%,<.5%,<1%,<1%,0%,0%,2%,<.5%,2%,<.5%,0%,0%,0%,1%,0%,1%,2%,0%,0%,1%,<.5%,1%,<.5%,0%,<1%,<.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Hindu,<.5%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,2%,<.5%,0%,0%,0%,3%,0%,0%,<1%,0%,0%,0%,0%,<1%,0%,0%,<.5%,0%,0%,<1%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Buddhist,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Some other religion (specify),<1%,0%,1%,1%,2%,0%,<.5%,<1%,<1%,0%,<1%,<1%,<1%,<1%,1%,0%,1%,0%,<1%,0%,1%,0%,<.5%,1%,<.5%,<.5%,<1%,1%,<1%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",No religious affiliation,31%,33%,28%,52%,50%,24%,16%,29%,25%,51%,34%,29%,33%,27%,39%,37%,21%,40%,30%,43%,33%,25%,37%,29%,30%,44%,19%,29%,36%,16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",[VOL] Don't know/Refused,2%,<1%,2%,0%,3%,1%,1%,<1%,2%,2%,1%,1%,1%,<.5%,0%,3%,3%,2%,3%,1%,0%,1%,<1%,2%,2%,1%,1%,11%,2%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you consider yourself Catholic, Protestant, Mormon, Jewish, Muslim, some other religion, or do you have no religious affiliation?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion) Do you consider yourself an evangelical or born-again Christian?",Yes,30%,26%,33%,16%,20%,34%,38%,30%,45%,14%,19%,36%,16%,39%,33%,28%,27%,27%,28%,28%,20%,48%,22%,26%,36%,18%,39%,32%,20%,44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion) Do you consider yourself an evangelical or born-again Christian?",No,16%,14%,17%,19%,16%,14%,14%,16%,13%,13%,20%,13%,21%,13%,12%,13%,8%,18%,19%,14%,18%,15%,20%,15%,14%,18%,14%,14%,18%,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion) Do you consider yourself an evangelical or born-again Christian?","[PREVIOUSLY] Catholic, Jewish, Muslim, no religious affiliation or refused",54%,58%,49%,62%,63%,50%,47%,52%,41%,74%,61%,49%,63%,46%,54%,58%,64%,53%,51%,58%,62%,36%,56%,58%,48%,64%,45%,53%,62%,43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion) Do you consider yourself an evangelical or born-again Christian?",[VOL] Refused,1%,2%,<1%,3%,<.5%,1%,1%,1%,1%,0%,<.5%,2%,0%,2%,1%,<.5%,1%,2%,2%,0%,0%,1%,2%,<.5%,1%,<1%,2%,0%,<1%,<1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(If Protestant, Christian, Mormon, Greek/Russian Orthodox or some other religion) Do you consider yourself an evangelical or born-again Christian?",Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Yes,34%,38%,29%,33%,39%,35%,32%,33%,36%,38%,37%,32%,36%,31%,45%,32%,39%,36%,36%,27%,37%,25%,43%,37%,27%,40%,30%,27%,41%,29%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,No,66%,62%,71%,67%,61%,65%,68%,67%,64%,62%,63%,68%,64%,69%,55%,68%,61%,64%,64%,73%,63%,75%,57%,63%,73%,60%,70%,73%,59%,71%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Would you be open to commenting on the issues in this survey and be interested in being contacted by a reporter?,Number of respondents,567,271,286,99,109,205,141,461,49,43,255,307,212,248,41,51,98,96,109,50,117,97,102,244,221,262,274,31,164,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
