itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_allegh,region_central,region_northeast_lehigh_valley,region_phil,region_phil_suburbs,region_south_central,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,The system needs minor changes,26%,29%,23%,15%,18%,31%,34%,28%,17%,23%,31%,24%,32%,26%,25%,17%,37%,22%,25%,21%,28%,18%,32%,25%,26%,27%,38%,17%,15%,42%
How satisfied are you with the way things are going in your life these days?,The system needs major changes,57%,52%,62%,57%,63%,58%,53%,55%,74%,52%,55%,58%,56%,55%,56%,69%,48%,64%,53%,65%,57%,61%,51%,63%,56%,56%,51%,62%,60%,47%
How satisfied are you with the way things are going in your life these days?,The system needs to be torn down entirely,13%,14%,12%,26%,17%,8%,7%,13%,8%,20%,9%,15%,8%,16%,16%,11%,12%,13%,17%,10%,9%,18%,14%,9%,14%,14%,10%,17%,12%,8%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,1%,1%,1%,<1%,<.5%,1%,3%,1%,<1%,0%,1%,2%,<1%,2%,0%,<1%,1%,0%,0%,0%,4%,3%,1%,0%,2%,2%,<1%,<1%,9%,<.5%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Nothing would change,5%,5%,5%,5%,7%,5%,3%,5%,1%,13%,7%,4%,7%,3%,4%,7%,2%,4%,9%,0%,7%,3%,5%,4%,5%,5%,6%,3%,11%,6%
How satisfied are you with the way things are going in your life these days?,Minor changes to how things work,22%,28%,17%,42%,27%,21%,10%,23%,16%,24%,25%,21%,25%,22%,26%,16%,11%,26%,20%,18%,21%,30%,28%,20%,22%,24%,14%,27%,36%,13%
How satisfied are you with the way things are going in your life these days?,Major changes to how things work,45%,44%,46%,35%,44%,45%,50%,47%,33%,41%,40%,48%,42%,51%,32%,38%,53%,54%,44%,42%,43%,37%,45%,41%,45%,49%,31%,61%,30%,31%
How satisfied are you with the way things are going in your life these days?,He would tear down the system entirely,25%,21%,29%,13%,21%,27%,33%,23%,43%,19%,27%,24%,25%,22%,32%,34%,31%,14%,25%,32%,25%,29%,20%,31%,26%,19%,47%,6%,13%,50%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,3%,3%,5%,<1%,2%,3%,2%,8%,4%,2%,3%,1%,3%,6%,6%,3%,2%,1%,7%,3%,<1%,2%,5%,2%,2%,2%,2%,10%,1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If Joe Biden won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If Joe Biden won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"If Joe Biden won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Nothing would change,33%,32%,33%,41%,39%,30%,28%,35%,15%,39%,30%,35%,32%,37%,19%,28%,24%,51%,32%,18%,30%,39%,31%,25%,30%,42%,19%,45%,37%,17%
How satisfied are you with the way things are going in your life these days?,Minor changes to how things work,40%,36%,44%,40%,48%,38%,39%,39%,59%,35%,52%,33%,52%,31%,61%,43%,46%,22%,35%,64%,45%,40%,34%,56%,42%,30%,68%,15%,35%,69%
How satisfied are you with the way things are going in your life these days?,Major changes to how things work,13%,17%,11%,9%,6%,18%,16%,13%,12%,15%,9%,16%,9%,16%,9%,15%,19%,15%,20%,5%,10%,7%,19%,6%,17%,13%,11%,16%,12%,13%
How satisfied are you with the way things are going in your life these days?,He would tear down the system entirely,11%,13%,10%,5%,7%,11%,15%,11%,10%,10%,7%,13%,6%,14%,9%,10%,9%,10%,12%,6%,11%,14%,14%,8%,10%,14%,<1%,22%,4%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,2%,6%,<.5%,2%,2%,2%,5%,2%,1%,3%,<1%,2%,2%,4%,1%,1%,<1%,7%,3%,0%,2%,4%,2%,2%,<1%,2%,12%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very good for the country,29%,33%,25%,18%,21%,30%,38%,32%,6%,20%,19%,34%,20%,40%,8%,14%,21%,43%,34%,12%,23%,29%,37%,15%,25%,40%,0%,60%,3%,0%
How satisfied are you with the way things are going in your life these days?,Somewhat good for the country,14%,19%,9%,18%,12%,18%,8%,15%,7%,13%,11%,16%,12%,17%,9%,10%,8%,22%,13%,11%,12%,14%,17%,13%,13%,15%,3%,24%,8%,3%
How satisfied are you with the way things are going in your life these days?,Somewhat bad for the country,6%,4%,8%,11%,8%,7%,2%,5%,10%,12%,8%,6%,6%,5%,16%,8%,4%,2%,6%,8%,7%,14%,3%,6%,8%,5%,11%,<1%,13%,9%
How satisfied are you with the way things are going in your life these days?,Very bad for the country,34%,28%,39%,28%,36%,32%,39%,33%,46%,24%,46%,27%,46%,25%,45%,33%,58%,17%,31%,43%,38%,25%,28%,44%,38%,23%,71%,<1%,22%,75%
How satisfied are you with the way things are going in your life these days?,Neither good nor bad,8%,8%,8%,13%,13%,6%,4%,6%,19%,14%,7%,9%,6%,6%,11%,20%,4%,8%,5%,17%,8%,10%,6%,12%,8%,6%,6%,7%,21%,4%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,1%,3%,2%,2%,<.5%,3%,2%,2%,0%,2%,2%,2%,2%,0%,2%,<1%,3%,0%,2%,2%,4%,2%,1%,<1%,4%,1%,1%,12%,1%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Nothing would change,5%,5%,5%,5%,7%,5%,3%,5%,1%,13%,7%,4%,7%,3%,4%,7%,2%,4%,9%,0%,7%,3%,5%,4%,5%,5%,6%,3%,11%,6%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Don’t know/Refused,3%,3%,3%,5%,<1%,2%,3%,2%,8%,4%,2%,3%,1%,3%,6%,6%,3%,2%,1%,7%,3%,<1%,2%,5%,2%,2%,2%,2%,10%,1%
How satisfied are you with the way things are going in your life these days?,NET Good,42%,52%,34%,36%,33%,48%,46%,47%,14%,33%,30%,50%,31%,56%,17%,24%,29%,64%,47%,23%,35%,42%,54%,28%,39%,55%,3%,84%,11%,3%
How satisfied are you with the way things are going in your life these days?,NET Bad,40%,32%,47%,39%,44%,38%,41%,39%,56%,36%,53%,32%,52%,30%,62%,41%,61%,19%,37%,51%,45%,40%,31%,50%,45%,27%,82%,2%,35%,85%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Biden major/minor change or tear down the system)  Do you think the changes that Joe Biden would make would be good for the country or bad for the country, or neither good nor bad?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Biden major/minor change or tear down the system)  Do you think the changes that Joe Biden would make would be good for the country or bad for the country, or neither good nor bad?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Biden major/minor change or tear down the system)  Do you think the changes that Joe Biden would make would be good for the country or bad for the country, or neither good nor bad?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very good for the country,12%,12%,13%,6%,5%,13%,21%,12%,13%,9%,15%,11%,16%,10%,7%,14%,17%,10%,11%,14%,13%,4%,17%,16%,13%,9%,27%,<.5%,1%,33%
How satisfied are you with the way things are going in your life these days?,Somewhat good for the country,16%,13%,18%,9%,21%,18%,13%,15%,21%,15%,23%,12%,21%,12%,35%,11%,29%,5%,15%,21%,19%,18%,6%,22%,18%,9%,34%,<1%,5%,36%
How satisfied are you with the way things are going in your life these days?,Somewhat bad for the country,5%,7%,3%,6%,3%,6%,4%,6%,<1%,1%,5%,5%,5%,6%,4%,0%,6%,3%,6%,6%,4%,6%,4%,6%,4%,6%,<1%,8%,6%,<1%
How satisfied are you with the way things are going in your life these days?,Very bad for the country,19%,23%,15%,10%,15%,22%,22%,19%,13%,16%,14%,22%,13%,23%,14%,15%,14%,22%,18%,13%,16%,18%,32%,12%,19%,23%,<1%,38%,10%,<.5%
How satisfied are you with the way things are going in your life these days?,Neither good nor bad,13%,10%,16%,22%,16%,9%,10%,10%,32%,18%,13%,13%,12%,9%,19%,29%,8%,7%,17%,21%,14%,15%,8%,16%,14%,10%,18%,6%,26%,14%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<.5%,<1%,<.5%,<.5%,<1%,0%,<.5%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,<1%,<.5%,<.5%,0%,2%,<.5%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Nothing would change,33%,32%,33%,41%,39%,30%,28%,35%,15%,39%,30%,35%,32%,37%,19%,28%,24%,51%,32%,18%,30%,39%,31%,25%,30%,42%,19%,45%,37%,17%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Don’t know/Refused,2%,2%,2%,6%,<.5%,2%,2%,2%,5%,2%,1%,3%,<1%,2%,2%,4%,1%,1%,<1%,7%,3%,0%,2%,4%,2%,2%,<1%,2%,12%,0%
How satisfied are you with the way things are going in your life these days?,NET Good,28%,25%,31%,15%,26%,30%,34%,28%,34%,24%,37%,22%,37%,22%,42%,24%,46%,14%,26%,35%,32%,22%,23%,38%,32%,18%,61%,<1%,7%,68%
How satisfied are you with the way things are going in your life these days?,NET Bad,24%,30%,18%,16%,18%,28%,26%,25%,14%,17%,18%,27%,18%,29%,17%,15%,20%,25%,24%,18%,20%,24%,36%,18%,23%,28%,1%,46%,16%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,836,472,349,125,178,275,239,686,77,55,437,398,365,321,60,72,69,88,112,67,331,84,85,118,478,240,417,367,52,349
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,47%,51%,15%,23%,32%,28%,79%,11%,8%,38%,62%,31%,49%,6%,13%,11%,14%,16%,12%,22%,13%,13%,18%,47%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Which comes closer to your view, even if neither is exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
