itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,52%,45%,58%,77%,55%,41%,46%,49%,52%,73%,47%,47%,54%,46%,50%,45%,64%,34%,59%,62%,46%,41%,58%,51%,34%,64%,56%,37%,58%,55%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,407,206,194,58,110,139,83,270,45,49,32,177,227,126,143,47,78,90,83,149,85,99,164,144,158,215,34,120,122,136
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,14%,25%,33%,24%,68%,10%,12%,8%,34%,65%,24%,43%,9%,20%,22%,19%,38%,21%,23%,40%,37%,39%,53%,8%,29%,32%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The stock market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The stock market,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) The stock market,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,12%,16%,7%,8%,8%,16%,10%,15%,2%,8%,0%,19%,8%,24%,10%,9%,2%,17%,11%,6%,17%,11%,13%,10%,19%,7%,4%,19%,7%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,23%,28%,19%,10%,17%,27%,33%,24%,25%,14%,31%,30%,20%,31%,20%,29%,20%,24%,26%,19%,27%,24%,25%,20%,31%,16%,27%,29%,18%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,34%,29%,38%,52%,36%,32%,27%,33%,49%,33%,29%,30%,36%,28%,36%,35%,37%,20%,46%,41%,24%,31%,37%,32%,28%,38%,35%,29%,38%,35%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,21%,18%,24%,25%,20%,19%,17%,17%,22%,38%,24%,15%,24%,11%,20%,20%,33%,20%,10%,21%,30%,19%,18%,25%,14%,27%,8%,13%,27%,18%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,11%,9%,13%,5%,19%,6%,12%,11%,2%,7%,16%,6%,13%,6%,13%,7%,8%,19%,7%,12%,3%,15%,6%,13%,7%,11%,26%,10%,10%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,35%,44%,26%,17%,25%,43%,44%,39%,27%,22%,31%,49%,28%,55%,31%,38%,22%,41%,36%,25%,43%,35%,39%,30%,51%,24%,31%,48%,25%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,55%,47%,61%,77%,56%,51%,45%,50%,71%,71%,53%,45%,59%,39%,56%,56%,70%,40%,56%,63%,54%,50%,55%,57%,42%,66%,43%,43%,65%,53%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,407,206,194,58,110,139,83,270,45,49,32,177,227,126,143,47,78,90,83,149,85,99,164,144,158,215,34,120,122,136
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,14%,25%,33%,24%,68%,10%,12%,8%,34%,65%,24%,43%,9%,20%,22%,19%,38%,21%,23%,40%,37%,39%,53%,8%,29%,32%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Prices for food and consumer goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Prices for food and consumer goods,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Prices for food and consumer goods,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,<.5%,<1%,0%,<.5%,0%,<1%,0%,<.5%,0%,<1%,0%,<1%,0%,1%,0%,<1%,0%,0%,<.5%,<1%,0%,<.5%,<1%,0%,<1%,<.5%,0%,<1%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,11%,15%,8%,6%,6%,7%,26%,12%,9%,6%,24%,10%,12%,10%,13%,9%,11%,13%,9%,11%,13%,10%,17%,6%,21%,<1%,11%,14%,7%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,23%,23%,23%,26%,28%,20%,20%,24%,22%,19%,36%,32%,17%,34%,17%,29%,18%,18%,27%,22%,26%,22%,26%,20%,38%,11%,11%,38%,14%,21%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,65%,61%,69%,67%,65%,72%,54%,64%,69%,73%,40%,56%,71%,54%,71%,61%,70%,69%,64%,65%,61%,68%,57%,73%,40%,88%,77%,46%,79%,65%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<.5%,<.5%,<.5%,0%,1%,<.5%,0%,<.5%,0%,1%,0%,<1%,<.5%,<.5%,0%,0%,<1%,<1%,0%,<1%,0%,0%,<.5%,<1%,<.5%,<.5%,2%,0%,<.5%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,12%,16%,8%,6%,6%,8%,26%,12%,9%,6%,24%,11%,12%,11%,13%,10%,11%,13%,9%,12%,13%,10%,17%,6%,22%,<1%,11%,15%,7%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,88%,84%,92%,94%,93%,92%,74%,88%,91%,93%,76%,88%,88%,89%,87%,90%,89%,87%,91%,87%,87%,90%,82%,94%,78%,99%,87%,85%,92%,86%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,416,211,202,71,97,143,84,263,47,72,27,214,202,135,128,74,72,84,94,137,101,90,186,140,191,186,39,126,111,141
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,17%,22%,30%,27%,64%,12%,17%,6%,41%,59%,25%,39%,15%,20%,21%,22%,33%,24%,20%,45%,35%,46%,42%,11%,30%,27%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The housing market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The housing market,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) The housing market,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,2%,<.5%,3%,<.5%,1%,1%,4%,2%,0%,3%,0%,2%,1%,2%,2%,3%,0%,<1%,<.5%,1%,4%,1%,<1%,3%,3%,<1%,0%,4%,<1%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,13%,18%,9%,8%,9%,13%,22%,14%,13%,11%,18%,13%,13%,16%,12%,9%,15%,10%,14%,15%,13%,12%,18%,8%,25%,4%,3%,21%,7%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,26%,21%,31%,34%,21%,26%,25%,26%,27%,25%,36%,27%,25%,27%,25%,29%,26%,24%,29%,28%,22%,19%,31%,24%,31%,23%,17%,29%,20%,28%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,53%,53%,53%,58%,64%,57%,35%,50%,60%,60%,46%,53%,53%,51%,50%,56%,59%,55%,52%,48%,60%,66%,44%,57%,36%,69%,64%,43%,66%,53%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,6%,7%,4%,0%,5%,3%,15%,9%,0%,2%,0%,4%,7%,5%,11%,2%,0%,10%,5%,8%,0%,1%,6%,8%,5%,4%,16%,3%,7%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,15%,19%,11%,8%,10%,14%,25%,16%,13%,13%,18%,15%,15%,17%,14%,13%,15%,11%,15%,16%,17%,13%,19%,11%,28%,4%,3%,25%,8%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,79%,74%,84%,92%,85%,84%,60%,76%,87%,85%,82%,81%,78%,78%,75%,86%,85%,78%,81%,76%,83%,86%,75%,81%,67%,92%,81%,72%,85%,82%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,416,211,202,71,97,143,84,263,47,72,27,214,202,135,128,74,72,84,94,137,101,90,186,140,191,186,39,126,111,141
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,17%,22%,30%,27%,64%,12%,17%,6%,41%,59%,25%,39%,15%,20%,21%,22%,33%,24%,20%,45%,35%,46%,42%,11%,30%,27%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Gas prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Gas prices,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Gas prices,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,3%,4%,<1%,0%,6%,1%,3%,3%,2%,0%,2%,4%,2%,5%,3%,4%,0%,7%,2%,<.5%,2%,4%,4%,<1%,4%,2%,2%,4%,3%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,14%,13%,15%,6%,13%,18%,12%,13%,16%,8%,28%,22%,10%,21%,9%,25%,13%,15%,15%,11%,15%,19%,11%,14%,29%,4%,7%,29%,3%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,34%,29%,39%,53%,38%,28%,30%,35%,40%,33%,20%,36%,33%,40%,33%,29%,32%,31%,41%,38%,25%,33%,36%,32%,41%,25%,61%,37%,22%,44%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,49%,53%,44%,42%,42%,53%,54%,48%,42%,57%,49%,38%,54%,35%,55%,42%,55%,47%,41%,49%,57%,44%,48%,53%,25%,69%,27%,30%,73%,39%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,<1%,<1%,<1%,0%,1%,0%,0%,<1%,0%,<1%,0%,0%,1%,0%,1%,0%,<1%,0%,1%,1%,0%,<1%,<1%,<1%,<1%,<.5%,2%,<.5%,<1%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,16%,17%,16%,6%,19%,19%,16%,17%,18%,8%,31%,26%,12%,26%,12%,29%,13%,22%,17%,12%,18%,22%,15%,14%,33%,5%,10%,33%,5%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,83%,82%,83%,94%,79%,81%,84%,83%,82%,91%,69%,74%,87%,74%,87%,71%,87%,78%,81%,87%,82%,77%,84%,85%,66%,94%,89%,67%,94%,83%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,407,206,194,58,110,139,83,270,45,49,32,177,227,126,143,47,78,90,83,149,85,99,164,144,158,215,34,120,122,136
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,14%,25%,33%,24%,68%,10%,12%,8%,34%,65%,24%,43%,9%,20%,22%,19%,38%,21%,23%,40%,37%,39%,53%,8%,29%,32%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Wages and incomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Wages and incomes,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split A) Wages and incomes,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excellent,4%,6%,1%,<.5%,0%,5%,9%,4%,2%,5%,3%,3%,4%,3%,4%,3%,4%,4%,2%,4%,5%,2%,5%,4%,5%,1%,7%,6%,5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Good,24%,25%,24%,14%,22%,21%,37%,25%,15%,21%,37%,31%,19%,31%,21%,29%,16%,17%,31%,23%,27%,14%,34%,18%,41%,8%,15%,39%,15%,22%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Only fair,31%,28%,34%,39%,24%,38%,23%,36%,30%,20%,19%,28%,33%,34%,37%,19%,27%,38%,27%,32%,27%,29%,29%,35%,32%,33%,18%,34%,34%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Poor,39%,40%,38%,47%,49%,36%,30%,34%,53%,49%,36%,36%,41%,31%,36%,45%,51%,38%,39%,39%,40%,52%,32%,41%,21%,55%,55%,21%,46%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,1%,2%,0%,5%,<1%,1%,<1%,0%,5%,5%,2%,2%,<.5%,1%,3%,3%,3%,1%,1%,2%,2%,1%,2%,<1%,3%,4%,0%,<.5%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Excellent/good,28%,31%,25%,14%,22%,26%,46%,29%,17%,26%,40%,35%,24%,35%,26%,32%,20%,21%,32%,27%,32%,16%,38%,22%,47%,10%,22%,45%,20%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Fair/poor,70%,68%,73%,86%,73%,73%,53%,70%,83%,69%,55%,64%,74%,65%,73%,65%,77%,76%,66%,71%,66%,82%,60%,76%,53%,88%,74%,55%,80%,72%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,416,211,202,71,97,143,84,263,47,72,27,214,202,135,128,74,72,84,94,137,101,90,186,140,191,186,39,126,111,141
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,17%,22%,30%,27%,64%,12%,17%,6%,41%,59%,25%,39%,15%,20%,21%,22%,33%,24%,20%,45%,35%,46%,42%,11%,30%,27%,34%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","In the dispute between Israel and the Palestinians [pah-luh-stin-ians], which side do you sympathize with more: Israel or the Palestinians [pah-luh-stin-ians]?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
