itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden is just too old to be an effective president.,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Joe Biden is just too old to be an effective president.,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly agree,46%,50%,42%,47%,45%,50%,42%,49%,33%,46%,32%,39%,51%,41%,55%,34%,40%,45%,42%,50%,46%,39%,42%,56%,22%,70%,52%,22%,70%,50%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat agree,21%,21%,20%,37%,24%,18%,14%,20%,24%,24%,30%,24%,19%,23%,17%,30%,23%,20%,25%,19%,20%,22%,21%,19%,29%,13%,13%,29%,14%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disagree,16%,12%,19%,12%,17%,16%,17%,16%,20%,6%,21%,19%,14%,18%,14%,18%,13%,14%,20%,14%,15%,15%,18%,13%,23%,9%,6%,23%,11%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disagree,15%,14%,16%,4%,10%,13%,26%,13%,24%,17%,14%,17%,13%,17%,10%,18%,20%,17%,9%,14%,18%,22%,16%,8%,24%,5%,15%,26%,6%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,3%,3%,3%,<.5%,4%,3%,<1%,3%,0%,7%,1%,1%,4%,2%,3%,0%,5%,4%,4%,3%,1%,2%,3%,3%,2%,3%,14%,<.5%,<.5%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Agree,67%,71%,63%,84%,69%,68%,56%,69%,57%,70%,63%,63%,69%,64%,72%,64%,63%,65%,67%,69%,65%,61%,64%,75%,51%,83%,65%,51%,83%,66%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disagree,30%,26%,35%,16%,27%,29%,43%,28%,43%,23%,36%,36%,27%,34%,25%,36%,32%,31%,29%,28%,33%,37%,33%,22%,48%,14%,22%,49%,16%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump is just too old to be an effective president.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump is just too old to be an effective president.,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Donald Trump is just too old to be an effective president.,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly agree,20%,17%,23%,27%,17%,19%,23%,19%,35%,20%,24%,22%,19%,21%,17%,24%,28%,20%,22%,18%,24%,25%,21%,16%,35%,5%,28%,34%,7%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat agree,18%,19%,18%,35%,19%,17%,13%,17%,15%,27%,32%,23%,16%,21%,15%,29%,20%,19%,20%,17%,19%,17%,18%,20%,24%,12%,20%,22%,12%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat disagree,25%,23%,28%,20%,30%,28%,22%,28%,17%,17%,15%,26%,25%,28%,29%,19%,15%,26%,27%,22%,27%,24%,25%,26%,22%,29%,18%,23%,35%,20%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Strongly disagree,33%,39%,28%,19%,31%,33%,39%,33%,30%,30%,28%,28%,36%,28%,36%,27%,32%,30%,29%,41%,28%,31%,31%,37%,15%,52%,28%,18%,47%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,3%,3%,3%,0%,3%,3%,3%,3%,3%,6%,0%,2%,4%,2%,3%,2%,4%,5%,2%,3%,3%,2%,5%,2%,4%,2%,5%,3%,0%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Agree,39%,35%,41%,62%,37%,36%,36%,36%,50%,47%,56%,44%,35%,42%,32%,52%,48%,39%,42%,34%,43%,43%,39%,35%,59%,17%,49%,56%,18%,38%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",NET Disagree,58%,62%,55%,38%,61%,61%,61%,62%,47%,47%,44%,54%,61%,56%,65%,46%,47%,56%,56%,63%,55%,56%,56%,63%,37%,81%,46%,41%,82%,56%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Do you think Joe Biden has the personality and temperament to be an effective president?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Do you think Joe Biden has the personality and temperament to be an effective president?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Split B) Do you think Joe Biden has the personality and temperament to be an effective president?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Yes,46%,41%,51%,38%,49%,49%,49%,40%,77%,59%,56%,57%,39%,55%,31%,61%,65%,32%,57%,43%,55%,58%,51%,34%,87%,9%,7%,87%,10%,45%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No,52%,57%,48%,60%,50%,51%,51%,59%,23%,41%,44%,42%,59%,44%,68%,39%,35%,68%,41%,55%,44%,41%,47%,65%,11%,91%,87%,12%,89%,53%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,1%,2%,<1%,2%,2%,0%,0%,2%,0%,0%,0%,1%,1%,2%,2%,0%,0%,0%,2%,2%,1%,1%,1%,1%,1%,<.5%,6%,<1%,<1%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,420,211,204,61,116,137,88,295,38,45,25,196,222,140,155,45,62,85,94,156,85,99,174,147,202,185,33,126,116,140
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,44%,55%,11%,23%,33%,29%,71%,8%,12%,6%,38%,61%,26%,44%,10%,16%,21%,21%,35%,22%,21%,43%,36%,48%,44%,8%,33%,29%,30%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump has the personality and temperament to be an effective president?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump has the personality and temperament to be an effective president?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Do you think Donald Trump has the personality and temperament to be an effective president?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Yes,41%,51%,31%,37%,41%,38%,43%,45%,24%,38%,17%,29%,48%,31%,54%,22%,31%,41%,34%,47%,38%,33%,36%,52%,3%,80%,31%,7%,75%,40%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",No,58%,46%,68%,61%,58%,59%,57%,54%,76%,59%,81%,69%,50%,68%,45%,76%,67%,58%,66%,52%,59%,66%,63%,46%,97%,18%,62%,92%,23%,58%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don’t know/Refused,2%,3%,<1%,2%,<1%,2%,0%,1%,0%,4%,2%,1%,2%,1%,1%,2%,2%,<1%,<.5%,1%,3%,2%,1%,2%,<.5%,2%,7%,<1%,2%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","If Donald Trump is elected president in November, what best describes your feelings about what he will do in office?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","If Donald Trump is elected president in November, what best describes your feelings about what he will do in office?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","If Donald Trump is elected president in November, what best describes your feelings about what he will do in office?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Excited,15%,19%,11%,12%,13%,17%,12%,17%,6%,10%,6%,11%,17%,13%,20%,6%,8%,17%,13%,14%,17%,11%,13%,19%,0%,32%,2%,<1%,32%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Optimistic,31%,39%,25%,30%,33%,32%,32%,35%,13%,31%,16%,22%,37%,23%,43%,18%,21%,32%,24%,39%,26%,23%,27%,42%,1%,61%,31%,6%,56%,33%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Concerned,19%,19%,20%,34%,22%,16%,14%,15%,32%,34%,26%,22%,18%,18%,13%,33%,31%,16%,24%,17%,21%,24%,20%,14%,30%,6%,36%,23%,6%,26%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Scared,33%,23%,42%,21%,29%,35%,42%,31%,49%,22%,46%,43%,26%,45%,23%,40%,37%,35%,40%,27%,34%,41%,37%,22%,68%,<1%,18%,69%,4%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,1%,2%,3%,2%,<.5%,<.5%,1%,0%,3%,6%,1%,2%,<1%,2%,3%,3%,0%,0%,4%,1%,<1%,2%,2%,<1%,<1%,14%,2%,2%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,875,434,429,145,226,288,176,600,89,91,63,424,444,298,300,109,132,177,182,325,191,216,361,298,405,406,64,275,223,295
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,21%,33%,28%,69%,10%,10%,7%,40%,59%,28%,41%,11%,16%,22%,20%,34%,24%,22%,43%,35%,46%,47%,7%,34%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Would you be more likely to describe electing Donald Trump as president this November as a safe choice for the country or a risky choice for the country?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
