itm,v1,likely_voters_likely_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Which comes closest to your view about the political and economic system in America, even if none are exactly right?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,The system does not need changes,3%,4%,1%,3%,2%,2%,4%,3%,2%,<1%,2%,2%,6%,3%,<1%,3%,2%,3%,2%,3%,3%,2%,2%,2%,3%,3%,2%,3%,1%,3%
How satisfied are you with the way things are going in your life these days?,The system needs minor changes,29%,30%,25%,30%,28%,28%,31%,33%,24%,21%,22%,28%,37%,32%,20%,18%,22%,35%,25%,40%,27%,20%,20%,28%,31%,27%,38%,22%,20%,42%
How satisfied are you with the way things are going in your life these days?,The system needs major changes,54%,53%,57%,52%,54%,56%,51%,49%,58%,62%,56%,56%,47%,51%,63%,61%,61%,51%,56%,48%,53%,61%,62%,55%,53%,54%,50%,57%,58%,48%
How satisfied are you with the way things are going in your life these days?,The system needs to be torn down entirely,13%,10%,14%,12%,14%,13%,14%,13%,13%,16%,19%,12%,8%,13%,14%,15%,13%,9%,15%,7%,16%,16%,13%,13%,12%,14%,8%,17%,16%,6%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,3%,2%,3%,1%,1%,1%,2%,2%,<1%,1%,1%,3%,2%,2%,3%,2%,2%,2%,2%,1%,<.5%,3%,2%,2%,2%,1%,2%,4%,1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"If Donald Trump won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Nothing would change,4%,6%,4%,3%,3%,5%,3%,4%,3%,5%,7%,3%,1%,3%,4%,6%,4%,4%,3%,5%,2%,2%,6%,4%,4%,3%,5%,2%,6%,4%
How satisfied are you with the way things are going in your life these days?,Minor changes to how things work,22%,18%,20%,20%,27%,21%,24%,27%,17%,34%,27%,22%,11%,22%,14%,28%,23%,26%,19%,26%,19%,25%,19%,21%,21%,22%,15%,25%,36%,13%
How satisfied are you with the way things are going in your life these days?,Major changes to how things work,46%,50%,49%,46%,43%,46%,45%,46%,47%,46%,47%,46%,48%,50%,31%,40%,45%,41%,50%,43%,55%,36%,39%,40%,45%,52%,28%,66%,29%,27%
How satisfied are you with the way things are going in your life these days?,He would tear down the system entirely,26%,24%,25%,29%,24%,26%,25%,21%,30%,12%,17%,27%,35%,23%,47%,22%,24%,27%,25%,25%,22%,34%,32%,32%,27%,20%,50%,5%,20%,54%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,3%,2%,3%,3%,2%,2%,2%,3%,2%,1%,2%,4%,2%,3%,4%,4%,2%,3%,2%,2%,2%,4%,2%,3%,2%,2%,2%,10%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If Joe Biden won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If Joe Biden won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"If Joe Biden won the election, do you think nothing would change, there would be minor changes to how things work, there would be major changes to how things work, or he would tear down the system completely?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Nothing would change,32%,29%,32%,29%,32%,33%,34%,34%,29%,36%,40%,33%,23%,33%,17%,36%,35%,30%,33%,32%,34%,27%,28%,27%,29%,37%,18%,42%,42%,14%
How satisfied are you with the way things are going in your life these days?,Minor changes to how things work,39%,40%,35%,44%,37%,40%,39%,35%,43%,50%,41%,36%,37%,38%,51%,39%,35%,47%,35%,47%,33%,47%,41%,46%,43%,31%,67%,15%,38%,69%
How satisfied are you with the way things are going in your life these days?,Major changes to how things work,12%,11%,15%,10%,9%,13%,11%,12%,11%,6%,8%,12%,15%,11%,21%,11%,12%,10%,12%,9%,11%,14%,16%,11%,11%,12%,13%,12%,5%,14%
How satisfied are you with the way things are going in your life these days?,He would tear down the system entirely,14%,16%,14%,13%,17%,12%,12%,15%,13%,5%,10%,15%,19%,15%,6%,10%,15%,9%,16%,9%,18%,8%,11%,12%,13%,16%,<.5%,27%,6%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,3%,4%,4%,4%,4%,1%,3%,3%,4%,2%,1%,4%,5%,3%,5%,4%,3%,3%,4%,2%,4%,3%,4%,3%,3%,4%,2%,4%,9%,2%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Trump major/minor change or tear down the system)  Do you think the changes that Donald Trump would make would be good for the country or bad for the country, or neither good nor bad?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very good for the country,33%,36%,36%,30%,33%,31%,30%,36%,30%,19%,27%,36%,38%,37%,7%,29%,24%,23%,38%,25%,44%,16%,20%,26%,29%,41%,<1%,65%,8%,<1%
How satisfied are you with the way things are going in your life these days?,Somewhat good for the country,12%,11%,13%,11%,13%,14%,12%,15%,10%,15%,14%,14%,8%,12%,10%,13%,17%,12%,12%,13%,12%,10%,15%,11%,12%,13%,3%,21%,11%,2%
How satisfied are you with the way things are going in your life these days?,Somewhat bad for the country,6%,5%,8%,7%,4%,6%,6%,6%,7%,16%,7%,5%,3%,5%,11%,10%,7%,7%,6%,6%,4%,10%,10%,7%,7%,5%,11%,<1%,12%,11%
How satisfied are you with the way things are going in your life these days?,Very bad for the country,31%,30%,25%,37%,28%,35%,33%,26%,36%,22%,28%,30%,40%,31%,47%,20%,29%,41%,26%,40%,25%,45%,27%,38%,35%,23%,69%,<1%,17%,74%
How satisfied are you with the way things are going in your life these days?,Neither good nor bad,10%,8%,11%,9%,16%,6%,12%,10%,10%,19%,14%,10%,4%,8%,16%,17%,14%,9%,11%,8%,9%,14%,17%,10%,10%,11%,9%,8%,32%,6%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,1%,<1%,1%,2%,<1%,2%,1%,1%,1%,2%,1%,<1%,1%,1%,2%,1%,<1%,<1%,1%,1%,1%,0%,2%,<1%,1%,2%,<1%,<1%,6%,<1%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Nothing would change,4%,6%,4%,3%,3%,5%,3%,4%,3%,5%,7%,3%,1%,3%,4%,6%,4%,4%,3%,5%,2%,2%,6%,4%,4%,3%,5%,2%,6%,4%
How satisfied are you with the way things are going in your life these days?,[PREVIOUSLY] Don’t know/Refused,2%,3%,2%,3%,3%,2%,2%,2%,3%,2%,1%,2%,4%,2%,3%,4%,4%,2%,3%,2%,2%,2%,4%,2%,3%,2%,2%,2%,10%,2%
How satisfied are you with the way things are going in your life these days?,NET Good,45%,48%,49%,41%,45%,44%,42%,51%,40%,34%,41%,50%,46%,49%,17%,42%,40%,36%,51%,39%,56%,26%,35%,38%,41%,54%,4%,86%,19%,3%
How satisfied are you with the way things are going in your life these days?,NET Bad,37%,35%,34%,43%,32%,41%,40%,32%,43%,38%,35%,35%,43%,36%,58%,30%,36%,48%,31%,46%,30%,55%,37%,45%,42%,28%,79%,1%,28%,84%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"3,380",513,470,520,508,836,533,"1,755","1,588",585,756,"1,075",859,"2,424",366,280,225,"1,565","1,799","1,186","1,231",329,535,784,"1,496","1,100","1,524","1,561",295,"1,254"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,34%,29%,73%,10%,9%,6%,37%,62%,27%,45%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Biden major/minor change or tear down the system)  Do you think the changes that Joe Biden would make would be good for the country or bad for the country, or neither good nor bad?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"(If Biden major/minor change or tear down the system)  Do you think the changes that Joe Biden would make would be good for the country or bad for the country, or neither good nor bad?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"(If Biden major/minor change or tear down the system)  Do you think the changes that Joe Biden would make would be good for the country or bad for the country, or neither good nor bad?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Very good for the country,12%,15%,11%,11%,11%,13%,10%,10%,13%,4%,5%,12%,19%,11%,20%,10%,11%,14%,10%,14%,9%,14%,15%,15%,13%,9%,27%,<.5%,1%,31%
How satisfied are you with the way things are going in your life these days?,Somewhat good for the country,14%,10%,14%,18%,11%,16%,15%,13%,16%,10%,15%,15%,15%,13%,28%,10%,13%,19%,11%,18%,10%,23%,15%,17%,16%,10%,31%,1%,5%,33%
How satisfied are you with the way things are going in your life these days?,Somewhat bad for the country,4%,4%,3%,6%,3%,5%,3%,4%,4%,9%,5%,3%,2%,4%,3%,5%,4%,4%,4%,5%,4%,2%,5%,3%,4%,4%,1%,5%,11%,<.5%
How satisfied are you with the way things are going in your life these days?,Very bad for the country,21%,24%,22%,18%,20%,20%,20%,24%,18%,9%,16%,22%,26%,24%,5%,11%,19%,16%,23%,17%,28%,11%,11%,17%,19%,25%,<.5%,41%,7%,<.5%
How satisfied are you with the way things are going in your life these days?,Neither good nor bad,13%,14%,15%,11%,17%,11%,13%,11%,15%,29%,16%,11%,9%,11%,22%,23%,15%,13%,14%,11%,11%,19%,22%,16%,14%,11%,20%,6%,22%,18%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<1%,1%,<.5%,2%,<1%,<.5%,1%,<1%,<1%,1%,1%,<1%,<1%,<1%,<1%,1%,1%,<1%,<1%,<1%,<1%,1%,<1%,<1%,1%,1%,<1%,<1%,4%,<1%
